country,station_code,station_name,year,species,sex,determinand,matrix,basis,unit,value,qflag,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sub.sample,AMAP_group,source,OSPAR_region,OSPAR_subregion,,latitude,longitude
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,F,HG,LI,W,mg/kg,39.39,,,,25,%,A20093,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,M,HG,LI,W,mg/kg,30.46,,,,25,%,A20094,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1994,Ursus maritimus,F,HG,LI,W,mg/kg,11.9,,,,25,%,A20095,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1994,Ursus maritimus,M,HG,LI,W,mg/kg,10.66,,,,25,%,A20096,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1994,Ursus maritimus,M,HG,LI,W,mg/kg,24.01,,,,25,%,A20097,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1994,Ursus maritimus,M,HG,LI,W,mg/kg,28.92,,,,25,%,A20098,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1994,Ursus maritimus,M,HG,LI,W,mg/kg,35.48,,,,25,%,A20099,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1994,Ursus maritimus,F,HG,LI,W,mg/kg,16.68,,,,25,%,A20100,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1994,Ursus maritimus,F,HG,LI,W,mg/kg,16.7,,,,25,%,A20101,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1994,Ursus maritimus,M,HG,LI,W,mg/kg,44.19,,,,25,%,A20102,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1994,Ursus maritimus,M,HG,LI,W,mg/kg,30.92,,,,25,%,A20103,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1994,Ursus maritimus,M,HG,LI,W,mg/kg,31.67,,,,25,%,A20104,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1994,Ursus maritimus,F,HG,LI,W,mg/kg,17.71,,,,25,%,A20105,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,M,HG,LI,W,mg/kg,25.46,,,,25,%,A20106,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,F,HG,LI,W,mg/kg,43.4,,,,25,%,A20107,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,M,HG,LI,W,mg/kg,39.26,,,,25,%,A20108,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,F,HG,LI,W,mg/kg,8.63,,,,25,%,A20109,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,M,HG,LI,W,mg/kg,11.87,,,,25,%,A20110,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,M,HG,LI,W,mg/kg,49.88,,,,25,%,A20111,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,M,HG,LI,W,mg/kg,35.42,,,,25,%,A20112,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,F,HG,LI,W,mg/kg,75.39,,,,25,%,A20113,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,M,HG,LI,W,mg/kg,5.14,,,,25,%,A20114,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,M,HG,LI,W,mg/kg,16.51,,,,25,%,A20115,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,M,HG,LI,W,mg/kg,33.08,,,,25,%,A20116,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,M,HG,LI,W,mg/kg,29.65,,,,25,%,A20117,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,M,HG,LI,W,mg/kg,32.15,,,,25,%,A20118,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1995,Ursus maritimus,M,HG,LI,W,mg/kg,34,,,,25,%,A20119,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1996,Ursus maritimus,F,HG,LI,W,mg/kg,29.66,,,,25,%,A20120,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1996,Ursus maritimus,M,HG,LI,W,mg/kg,50.62,,,,25,%,A20121,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1996,Ursus maritimus,M,HG,LI,W,mg/kg,85.46,,,,25,%,A20122,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1996,Ursus maritimus,M,HG,LI,W,mg/kg,72.29,,,,25,%,A20123,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1996,Ursus maritimus,F,HG,LI,W,mg/kg,34.01,,,,25,%,A20124,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1996,Ursus maritimus,M,HG,LI,W,mg/kg,32.38,,,,25,%,A20125,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1996,Ursus maritimus,M,HG,LI,W,mg/kg,53.08,,,,25,%,A20126,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,F,HG,LI,W,mg/kg,26.25,,,,25,%,A20127,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,F,HG,HA,D,mg/kg,8.19,,,,20,%,A20127,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,LI,W,mg/kg,8.5,,,,25,%,A20128,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,HA,D,mg/kg,7.53,,,,20,%,A20128,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,F,HG,LI,W,mg/kg,4.28,,,,25,%,A20129,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,F,HG,HA,D,mg/kg,3.6,,,,20,%,A20129,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1999,Ursus maritimus,M,HG,LI,W,mg/kg,5.79,,,,25,%,A20130,Juvenile,Riget,,,,,
