country,station_code,station_name,year,species,sex,determinand,matrix,basis,unit,value,qflag,limit_detection,limit_quantification,uncertainty,methodUncertainty,latitude,longitude,date,depth,noinp,filtered,AMAP_group,sampleID,replicate,pargroup,metpt,metoa,metcx,OSPAR_region,OSPAR_subregion
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,F,HG,HA,D,mg/kg,4.17,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,F,AGMEA,HA,D,y,2,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,M,HG,HA,D,mg/kg,4.46,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,NA,HG,HA,D,mg/kg,5.39,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,F,HG,HA,D,mg/kg,5.64,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,F,AGMEA,HA,D,y,4,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,M,HG,HA,D,mg/kg,5.89,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,M,AGMEA,HA,D,y,2,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,M,HG,LI,W,mg/kg,7.67,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,M,AGMEA,HA,D,y,6,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,LI,W,mg/kg,2.99,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,LI,W,mg/kg,12.18,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,LI,W,mg/kg,16.39,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,AGMEA,HA,D,y,18,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,HA,D,mg/kg,3.41,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,AGMEA,HA,D,y,2,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,M,HG,HA,D,mg/kg,3.43,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,M,AGMEA,HA,D,y,5,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,HA,D,mg/kg,4.25,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,HA,D,mg/kg,4.35,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,HA,D,mg/kg,4.35,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,AGMEA,HA,D,y,18,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,HA,D,mg/kg,4.55,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,AGMEA,HA,D,y,4,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,HA,D,mg/kg,5.36,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,HA,D,mg/kg,5.36,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,HG,HA,D,mg/kg,6.02,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,F,AGMEA,HA,D,y,9,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,M,HG,HA,D,mg/kg,6.08,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,M,AGMEA,HA,D,y,3,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,M,HG,HA,D,mg/kg,6.32,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1989,Ursus maritimus,M,AGMEA,HA,D,y,2,,,,25,%,,,,,,,,,,,,,,,
