country,station_code,station_name,year,species,sex,determinand,matrix,basis,value,unit,censoring,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sample,subseries,source
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,M,HG,KI,D,8.73,ug/g,,,,,,A12740,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,M,HG,KI,D,8.82,ug/g,,,,,,A12741,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,M,HG,KI,D,2.22,ug/g,,,,,,A12742,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,M,HG,KI,D,2.51,ug/g,,,,,,A12743,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,M,HG,KI,D,2.99,ug/g,,,,,,A12744,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,M,HG,KI,D,3.04,ug/g,,,,,,A12745,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,F,HG,KI,D,3.11,ug/g,,,,,,A12746,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,I,HG,KI,D,3.27,ug/g,,,,,,A12747,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,M,HG,KI,D,3.32,ug/g,,,,,,A12748,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,M,HG,KI,D,3.67,ug/g,,,,,,A12749,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,F,HG,KI,D,4.2,ug/g,,,,,,A12750,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,F,HG,KI,D,4.55,ug/g,,,,,,A12751,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,F,HG,KI,D,4.66,ug/g,,,,,,A12752,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,F,HG,KI,D,5.05,ug/g,,,,,,A12753,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,I,HG,KI,D,5.22,ug/g,,,,,,A12754,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,M,HG,KI,D,5.29,ug/g,,,,,,A12755,,Gamberg
Canada,A6,Western Hudson Bay,2015,Rangifer tarandus,F,HG,KI,D,5.56,ug/g,,,,,,A12756,,Gamberg
