country;station_code;station_name;year;species;sex;determinand;matrix;basis;unit;value;qflag;limit_detection;limit_quantification;uncertainty;methodUncertainty;sub.sample;AMAP_group;idno
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;AGMEA;HA;D;y;2;;;;25;%;;juvenile;1388
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;OCDAN;BB;L;ng/g;2176;;;;25;%;;juvenile;1388
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;TNONC;BB;L;ng/g;184.12;;;;25;%;;juvenile;1388
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;N15D;MU;D;ppt;17.4;;;;25;%;;juvenile;1388
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;C13D;MU;D;ppt;-18.8;;;;25;%;;juvenile;1388
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;SCB7;BB;L;ng/g;9634.5;;;;25;%;;juvenile;1389
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;DDTPP;BB;L;ng/g;650.57;;;;25;%;;juvenile;1389
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;HCH;BB;L;ng/g;397;;;;25;%;;juvenile;1389
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;HCB;BB;L;ng/g;135;;;;25;%;;juvenile;1389
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;OCB;BB;L;ng/g;38;;;;25;%;;juvenile;1389
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;DIEL;BB;L;ng/g;264.51;;;;25;%;;juvenile;1389
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;HCEPX;BB;L;ng/g;216;;;;25;%;;juvenile;1389
Denmark;A90;Ittoqqortoormiit AMAP;1987;Ursus maritimus;M;MIREX;BB;L;ng/g;10.32;;;;25;%;;juvenile;1389
