country,station_code,station_name,year,species,sex,determinand,matrix,basis,value,unit,qflag,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sample,series_subroup,source
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,HG,HA,D,18.67,mg/kg,,,,20,%,A20049,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,AGMEA,WO,,1,y,,,,,,A20049,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,LI,W,12.74,mg/kg,,,,25,%,A20050,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,HA,D,13.84,mg/kg,,,,20,%,A20050,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,AGMEA,WO,,1,y,,,,,,A20050,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,N15D,MU,D,18.7,ppt,,,,,,A20050,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,C13D,MU,D,-19.2,ppt,,,,,,A20050,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,LI,W,10.29,mg/kg,,,,25,%,A20051,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,AGMEA,WO,,1,y,,,,,,A20051,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,LI,W,4.25,mg/kg,,,,25,%,A20052,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,AGMEA,WO,,12,y,,,,,,A20052,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,LI,W,4.64,mg/kg,,,,25,%,A20053,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,AGMEA,WO,,11,y,,,,,,A20053,adult_male,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,HG,LI,W,4.92,mg/kg,,,,25,%,A20054,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,F,AGMEA,WO,,3,y,,,,,,A20054,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,1990,Ursus maritimus,M,HG,LI,W,9.04,mg/kg,,,,25,%,A20055,juvenile,Riget
